time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778210406.893,4769.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210407.896,4770.568,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210408.900,4771.572,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210409.903,4772.575,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210410.905,4773.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210411.908,4774.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210412.911,4775.583,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210413.916,4776.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210414.921,4777.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210415.924,4778.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210416.927,4779.599,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210417.930,4780.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210418.883,4781.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210419.886,4782.558,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210420.889,4783.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210421.893,4784.565,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210422.895,4785.568,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210423.899,4786.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210424.904,4787.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210425.909,4788.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210426.912,4789.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210427.916,4790.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210428.920,4791.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210429.924,4792.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210430.927,4793.599,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210431.930,4794.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210432.883,4795.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210433.886,4796.558,1,0.0,0.0,-17.0,0.0,0.0,0,0
