time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778259641.912,1590.868,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259642.413,1591.369,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259642.915,1591.871,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259643.416,1592.372,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259643.918,1592.874,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259644.420,1593.376,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259644.922,1593.878,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259645.423,1594.379,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259645.924,1594.880,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259646.426,1595.382,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259646.930,1595.885,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259647.431,1596.387,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259647.933,1596.889,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259648.434,1597.390,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259648.938,1597.894,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259649.439,1598.395,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259649.941,1598.897,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259650.443,1599.399,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259650.944,1599.900,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259651.446,1600.402,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259651.947,1600.903,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259652.449,1601.405,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259652.950,1601.906,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259653.452,1602.408,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259653.954,1602.910,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259654.407,1603.363,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259654.908,1603.864,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259655.410,1604.366,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259655.912,1604.868,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259656.414,1605.370,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259656.916,1605.871,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259657.420,1606.376,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259657.921,1606.877,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259658.423,1607.379,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259658.926,1607.882,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259659.427,1608.383,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259659.929,1608.885,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259660.431,1609.387,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259660.933,1609.889,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259661.434,1610.390,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259661.936,1610.892,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259662.437,1611.393,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
