time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778616103.996,6401.005,0.0,0.0,0.0,0.0,0.0,0.0
1778616104.247,6401.256,0.0,0.0,0.0,0.0,0.0,0.0
1778616104.498,6401.507,0.0,0.0,0.0,0.0,0.0,0.0
1778616104.748,6401.757,0.0,0.0,0.0,0.0,0.0,0.0
1778616104.999,6402.008,0.0,0.0,0.0,0.0,0.0,0.0
1778616105.250,6402.259,0.0,0.0,0.0,0.0,0.0,0.0
1778616105.501,6402.510,0.0,0.0,0.0,0.0,0.0,0.0
1778616105.751,6402.760,0.0,0.0,0.0,0.0,0.0,0.0
1778616106.002,6403.011,0.0,0.0,0.0,0.0,0.0,0.0
1778616106.253,6403.262,0.0,0.0,0.0,0.0,0.0,0.0
1778616106.503,6403.513,0.0,0.0,0.0,0.0,0.0,0.0
1778616106.754,6403.763,0.0,0.0,0.0,0.0,0.0,0.0
1778616107.005,6404.014,0.0,0.0,0.0,0.0,0.0,0.0
1778616107.256,6404.265,0.0,0.0,0.0,0.0,0.0,0.0
1778616107.506,6404.515,0.0,0.0,0.0,0.0,0.0,0.0
1778616107.757,6404.766,0.0,0.0,0.0,0.0,0.0,0.0
1778616108.008,6405.017,0.0,0.0,0.0,0.0,0.0,0.0
1778616108.259,6405.268,0.0,0.0,0.0,0.0,0.0,0.0
1778616108.509,6405.518,0.0,0.0,0.0,0.0,0.0,0.0
1778616108.760,6405.769,0.0,0.0,0.0,0.0,0.0,0.0
1778616109.011,6406.020,0.0,0.0,0.0,0.0,0.0,0.0
1778616109.262,6406.271,0.0,0.0,0.0,0.0,0.0,0.0
1778616109.512,6406.521,0.0,0.0,0.0,0.0,0.0,0.0
1778616109.763,6406.772,0.0,0.0,0.0,0.0,0.0,0.0
1778616110.014,6407.023,0.0,0.0,0.0,0.0,0.0,0.0
1778616110.264,6407.273,0.0,0.0,0.0,0.0,0.0,0.0
1778616110.515,6407.524,0.0,0.0,0.0,0.0,0.0,0.0
1778616110.766,6407.775,0.0,0.0,0.0,0.0,0.0,0.0
1778616111.017,6408.026,0.0,0.0,0.0,0.0,0.0,0.0
1778616111.267,6408.276,0.0,0.0,0.0,0.0,0.0,0.0
1778616111.518,6408.527,0.0,0.0,0.0,0.0,0.0,0.0
1778616111.769,6408.778,0.0,0.0,0.0,0.0,0.0,0.0
1778616112.020,6409.029,0.0,0.0,0.0,0.0,0.0,0.0
1778616112.270,6409.280,0.0,0.0,0.0,0.0,0.0,0.0
1778616112.521,6409.530,0.0,0.0,0.0,0.0,0.0,0.0
1778616112.772,6409.781,0.0,0.0,0.0,0.0,0.0,0.0
1778616113.023,6410.032,0.0,0.0,0.0,0.0,0.0,0.0
1778616113.274,6410.283,0.0,0.0,0.0,0.0,0.0,0.0
1778616113.524,6410.533,0.0,0.0,0.0,0.0,0.0,0.0
1778616113.775,6410.784,0.0,0.0,0.0,0.0,0.0,0.0
1778616114.026,6411.035,0.0,0.0,0.0,0.0,0.0,0.0
1778616114.276,6411.286,0.0,0.0,0.0,0.0,0.0,0.0
1778616114.527,6411.536,0.0,0.0,0.0,0.0,0.0,0.0
1778616114.778,6411.787,0.0,0.0,0.0,0.0,0.0,0.0
1778616115.029,6412.038,0.0,0.0,0.0,0.0,0.0,0.0
1778616115.279,6412.288,0.0,0.0,0.0,0.0,0.0,0.0
1778616115.530,6412.539,0.0,0.0,0.0,0.0,0.0,0.0
1778616115.781,6412.790,0.0,0.0,0.0,0.0,0.0,0.0
1778616116.032,6413.041,0.0,0.0,0.0,0.0,0.0,0.0
1778616116.282,6413.291,0.0,0.0,0.0,0.0,0.0,0.0
1778616116.533,6413.542,0.0,0.0,0.0,0.0,0.0,0.0
1778616116.784,6413.793,0.0,0.0,0.0,0.0,0.0,0.0
1778616117.035,6414.044,0.0,0.0,0.0,0.0,0.0,0.0
1778616117.285,6414.294,0.0,0.0,0.0,0.0,0.0,0.0
1778616117.536,6414.545,0.0,0.0,0.0,0.0,0.0,0.0
1778616117.787,6414.796,0.0,0.0,0.0,0.0,0.0,0.0
1778616118.038,6415.047,0.0,0.0,0.0,0.0,0.0,0.0
1778616118.288,6415.297,0.0,0.0,0.0,0.0,0.0,0.0
1778616118.489,6415.498,0.0,0.0,0.0,0.0,0.0,0.0
1778616118.740,6415.749,0.0,0.0,0.0,0.0,0.0,0.0
